"Agilent Technologies Inc. Common Stock","A","NYSE","stock","USD"
"Alcoa Corporation Common Stock","AA","NYSE","stock","USD"
"Ares Acquisition Corporation Class A Ordinary Shares","AAC","NYSE","stock","USD"
"ATA Creativity Global American Depositary Shares","AACG","NYSE","stock","USD"
"Armada Acquisition Corp. I Common Stock","AACI","NYSE","stock","USD"
"Armada Acquisition Corp. I Warrant","AACIW","NYSE","stock","USD"
"Aadi Bioscience Inc. Common Stock","AADI","NYSE","stock","USD"
"Arlington Asset Investment Corp Class A (new)","AAIC","NYSE","stock","USD"
"Arlington Asset Investment Corp 7.00%","AAIC^B","NYSE","stock","USD"
"Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock","AAIC^C","NYSE","stock","USD"
"Arlington Asset Investment Corp 6.000% Senior Notes Due 2026","AAIN","NYSE","stock","USD"
"American Airlines Group Inc. Common Stock","AAL","NYSE","stock","USD"
"Apollo Asset Management Inc. 6.375% Series A Preferred Stock","AAM^A","NYSE","stock","USD"
"Apollo Asset Management Inc. 6.375% Series B Preferred Stock","AAM^B","NYSE","stock","USD"
"Altisource Asset Management Corp Com","AAMC","NYSE","stock","USD"
"Atlantic American Corporation Common Stock","AAME","NYSE","stock","USD"
"Aarons Holdings Company Inc. Common Stock","AAN","NYSE","stock","USD"
"Applied Optoelectronics Inc. Common Stock","AAOI","NYSE","stock","USD"
"AAON Inc. Common Stock","AAON","NYSE","stock","USD"
"Advance Auto Parts Inc.","AAP","NYSE","stock","USD"
"Apple Inc. Common Stock","AAPL","NYSE","stock","USD"
"American Assets Trust Inc. Common Stock","AAT","NYSE","stock","USD"
"Almaden Minerals Ltd. Common Shares","AAU","NYSE","stock","USD"
"Atlas Air Worldwide Holdings NEW Common Stock","AAWW","NYSE","stock","USD"
"AllianceBernstein Holding L.P.  Units","AB","NYSE","stock","USD"
"ABB Ltd Common Stock","ABB","NYSE","stock","USD"
"AbbVie Inc. Common Stock","ABBV","NYSE","stock","USD"
"AmerisourceBergen Corporation Common Stock","ABC","NYSE","stock","USD"
"Ameris Bancorp Common Stock","ABCB","NYSE","stock","USD"
"AbCellera Biologics Inc. Common Shares","ABCL","NYSE","stock","USD"
"Abcam plc American Depositary Shares","ABCM","NYSE","stock","USD"
"Abeona Therapeutics Inc. Common Stock","ABEO","NYSE","stock","USD"
"Ambev S.A. American Depositary Shares (Each representing 1 Common Share)","ABEV","NYSE","stock","USD"
"Asbury Automotive Group Inc Common Stock","ABG","NYSE","stock","USD"
"ABG Acquisition Corp. I Class A Ordinary Shares","ABGI","NYSE","stock","USD"
"ARCA biopharma Inc. Common Stock","ABIO","NYSE","stock","USD"
"ABM Industries Incorporated Common Stock","ABM","NYSE","stock","USD"
"Airbnb Inc. Class A Common Stock","ABNB","NYSE","stock","USD"
"Acumen Pharmaceuticals Inc. Common Stock","ABOS","NYSE","stock","USD"
"Arbor Realty Trust Common Stock","ABR","NYSE","stock","USD"
